contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
AAPL240927C00100000,2024-08-26 16:10:13+00:00,100.0,125.6,124.65,125.3,0.0,0.0,,1,1.6972671386718752,True,REGULAR,USD
AAPL240927C00105000,2024-08-27 15:00:16+00:00,105.0,124.15,119.65,120.35,0.0,0.0,,0,1.61328318359375,True,REGULAR,USD
AAPL240927C00110000,2024-08-19 13:30:07+00:00,110.0,115.93,114.7,115.4,0.0,0.0,10.0,10,1.5400413623046876,True,REGULAR,USD
AAPL240927C00130000,2024-08-27 15:22:23+00:00,130.0,99.4,95.2,95.85,0.0,0.0,,0,1.3220248742675782,True,REGULAR,USD
AAPL240927C00140000,2024-08-28 18:27:53+00:00,140.0,86.81,84.8,85.3,0.0,0.0,2.0,4,1.0751999365234377,True,REGULAR,USD
AAPL240927C00150000,2024-08-26 15:24:32+00:00,150.0,76.82,74.9,75.4,1.0899963,1.439319,1.0,57,0.9597171997070311,True,REGULAR,USD
AAPL240927C00160000,2024-08-30 15:33:02+00:00,160.0,68.6,64.9,65.8,0.0,0.0,2.0,37,0.8625502026367188,True,REGULAR,USD
AAPL240927C00165000,2024-08-30 15:31:42+00:00,165.0,63.62,60.1,60.7,0.0,0.0,1.0,3,0.8054218676757812,True,REGULAR,USD
AAPL240927C00170000,2024-09-03 14:06:20+00:00,170.0,56.76,55.1,55.5,-1.3200035,-2.2727332,6.0,8,0.7282742016601562,True,REGULAR,USD
AAPL240927C00175000,2024-08-28 17:55:06+00:00,175.0,52.65,50.25,50.95,0.0,0.0,1.0,3,0.7045927978515626,True,REGULAR,USD
AAPL240927C00180000,2024-08-30 19:37:10+00:00,180.0,49.37,45.05,45.7,0.0,0.0,1.0,39,0.6157264990234376,True,REGULAR,USD
AAPL240927C00185000,2024-08-30 18:09:55+00:00,185.0,43.69,40.45,41.45,0.0,0.0,1.0,25,0.6149940844726562,True,REGULAR,USD
AAPL240927C00190000,2024-09-03 13:38:54+00:00,190.0,38.43,35.3,35.7,-0.6100006,-1.5625015,1.0,101,0.5086719055175781,True,REGULAR,USD
AAPL240927C00195000,2024-09-03 13:34:43+00:00,195.0,33.59,30.65,31.2,-0.34000015,-1.0020635,5.0,217,0.5080615600585938,True,REGULAR,USD
AAPL240927C00200000,2024-09-03 14:16:23+00:00,200.0,26.45,26.35,26.6,-2.7799988,-9.510773,6.0,394,0.4714408325195312,True,REGULAR,USD
AAPL240927C00205000,2024-09-03 14:19:53+00:00,205.0,22.12,21.3,21.8,-2.2699986,-9.307087,5.0,320,0.4161435339355468,True,REGULAR,USD
AAPL240927C00210000,2024-09-03 14:19:14+00:00,210.0,17.61,17.25,17.5,-3.3799992,-16.102901,9.0,236,0.3845276391601562,True,REGULAR,USD
AAPL240927C00215000,2024-09-03 14:28:49+00:00,215.0,13.41,12.65,12.85,-2.7199993,-16.862986,33.0,749,0.3249579223632812,True,REGULAR,USD
AAPL240927C00220000,2024-09-03 14:17:13+00:00,220.0,9.3,9.1,9.2,-2.9499998,-24.08163,383.0,1219,0.30072720764160155,True,REGULAR,USD
AAPL240927C00225000,2024-09-03 14:31:37+00:00,225.0,6.08,6.2,6.35,-2.62,-29.372196,345.0,1252,0.2901071966552734,False,REGULAR,USD
AAPL240927C00230000,2024-09-03 14:31:52+00:00,230.0,3.7,3.7,3.8,-1.8999999,-33.92857,976.0,22550,0.2668530346679688,False,REGULAR,USD
AAPL240927C00235000,2024-09-03 14:31:14+00:00,235.0,2.18,2.1,2.16,-1.1699998,-34.92537,414.0,13192,0.2561109545898438,False,REGULAR,USD
AAPL240927C00240000,2024-09-03 14:31:35+00:00,240.0,1.15,1.13,1.14,-0.74,-39.15344,369.0,18917,0.24927508544921873,False,REGULAR,USD
AAPL240927C00245000,2024-09-03 14:32:23+00:00,245.0,0.6,0.61,0.63,-0.41999996,-41.176468,3429.0,2143,0.25220474365234374,False,REGULAR,USD
AAPL240927C00250000,2024-09-03 14:23:58+00:00,250.0,0.36,0.33,0.35,-0.15999997,-30.769224,179.0,1644,0.25757578369140627,False,REGULAR,USD
AAPL240927C00255000,2024-09-03 13:43:17+00:00,255.0,0.21,0.2,0.21,-0.13000001,-35.135136,130.0,537,0.26709717285156254,False,REGULAR,USD
AAPL240927C00260000,2024-09-03 14:11:19+00:00,260.0,0.12,0.12,0.13,-0.07,-36.842106,13.0,1135,0.27735097656249996,False,REGULAR,USD
AAPL240927C00265000,2024-09-03 14:11:37+00:00,265.0,0.09,0.08,0.09,-0.029999994,-24.999994,22.0,240,0.2910227148437499,False,REGULAR,USD
AAPL240927C00270000,2024-08-30 19:56:03+00:00,270.0,0.06,0.06,0.07,-0.030000005,-33.333336,1.0,739,0.3086006640625,False,REGULAR,USD
AAPL240927C00275000,2024-09-03 14:17:37+00:00,275.0,0.04,0.04,0.05,-0.030000001,-30.0,2.0,136,0.32031929687499994,False,REGULAR,USD
AAPL240927C00280000,2024-09-03 14:17:13+00:00,280.0,0.04,0.03,0.04,0.0,0.0,1.0,238,0.335944140625,False,REGULAR,USD
AAPL240927C00285000,2024-09-03 14:22:36+00:00,285.0,0.02,0.02,0.04,-0.02,-50.0,1.0,84,0.35938140625,False,REGULAR,USD
AAPL240927C00290000,2024-09-03 14:18:01+00:00,290.0,0.01,0.01,0.03,-0.01,-33.333336,112.0,30,0.3711000390625,False,REGULAR,USD
AAPL240927C00295000,2024-08-28 15:52:14+00:00,295.0,0.01,0.01,0.04,0.0,0.0,2.0,139,0.40430283203125,False,REGULAR,USD
AAPL240927C00300000,2024-09-03 14:17:48+00:00,300.0,0.01,0.01,0.03,-0.01,-50.0,8.0,43,0.414068359375,False,REGULAR,USD
